id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4498834455429555,IFt8pmMtt,5616918694,快乐微博维克多,【对话特朗普】川普：没人比我更懂数据！原来估计全国死220万，现在才死不到10万，我老特太棒了！本博：我原来估计全美死绝了，就剩你老特一人。现在才死这么一丢丢，老特你才是真正的抗疫英雄！川普：你说得对！没有人比我更懂新冠病毒了！回家和伊万卡她小妈、巴伦他娘整二两消毒液就汉堡。#美国新冠病毒感染病例超100万##耿爽反问美方到底谁在散布虚假消息##美国误服消毒剂咨询电话大幅上升##特朗普称注射消毒液的说法只是讽刺##特朗普称不会推迟美国大选#L快乐微博维克多的微博视频,,,,"美国新冠病毒感染病例超100万,耿爽反问美方到底谁在散布虚假消息,美国误服消毒剂咨询电话大幅上升,特朗普称注射消毒液的说法只是讽刺,特朗普称不会推迟美国大选",0,0,6,2020-04-28 23:53,三星GALAXY A,,"http://f.video.weibocdn.com/brmh4HDElx07CRluOEJO010412001YB40E010.mp4?label=mp4_ld&template=360x636.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1592305428&ssig=LBjZWMHKRI&KID=unistore,video",
4498834363315294,IFt8gdUsu,2118552594,金蝴蝶探索者,#凤凰新闻#分享凤凰新闻：特朗普：美国情况令人鼓舞，中国本可以阻止病毒传播O特朗普：美国情况令人鼓舞，中国本可以阻止病毒传播来自@凤凰新闻客户端,,,凤凰新闻客户端,凤凰新闻,0,0,1,2020-04-28 23:52,iPhone客户端,['http://ww2.sinaimg.cn/large/7e468c12gy1ge9x3o1vrej204u04ua9z.jpg'],,
4498834292469817,IFt89amvL,3567412270,抚州临川发布,【#特朗普称注射消毒剂若致死不负责#：之前说的可注射，是为“挖苦和讽刺”媒体】4月27日，美国总统特朗普在白宫记者会被问及如果有人因使用消毒剂抗疫死亡，是否会负责时表示，不会对此负责，并称“无法想象”。他此前称可通过注射消毒剂杀死病毒。但是这一言论立即遭到了学界和公众反对。特朗普24日称，这种说法只是为了“挖苦和讽刺”媒体。#纽约州取消6月23日总统初选#O注射消毒剂若致死，特朗普：我不负责L七环视频的微博视频,,,,"特朗普称注射消毒剂若致死不负责,纽约州取消6月23日总统初选",0,0,0,2020-04-28 23:52,HUAWEI Mate 20,,"http://f.video.weibocdn.com/cJoPEcMBlx07CQnbPCWI0104120099uh0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1592305428&ssig=KpkOSydPTR&KID=unistore,video",
4498834157686100,IFt7Vwfvm,1438622410,南方风儿,特朗普首次公开表态“追责中国”，最后惨的还是美国人民特朗普总统星期一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。O网页链接,,,,,0,0,0,2020-04-28 23:51,iPhone客户端,['http://ww3.sinaimg.cn/large/55bfa2caly1ge9x2k76bij202o02o3yc.jpg'],,
4498834019328018,IFt7HD8DU,1259449472,曹金举AJT,美国总统特朗普周一（27日）表示，中国本来可以在新型冠状病毒蔓延至全球之前遏止疫情。他称，相信病毒可以从源头停止，如果能迅速地遏止，就不会蔓延至全世界。特朗普又说「对中国不满意」，有很多方法可以令中国负责，美国正就此展开严正调查，不排除会向中国索偿。疫情泛滥，特朗普也需要找个背锅侠。虽然只是过过嘴炮，也总算有个抱怨对象。,,,,,2,0,0,2020-04-28 23:51,,['http://ww4.sinaimg.cn/large/4b11ac80gy1ge9wzm4io0j20m80bpgm9.jpg'],,
4498833872226347,IFt7t9laP,7390932629,娱乐耿,因限制使用特朗普推荐神药，美国新冠疫苗负责人遭降职#中国第四个新冠疫苗获临床批件#L娱乐耿的微博视频,,,,中国第四个新冠疫苗获临床批件,0,3,3,2020-04-28 23:50,微博云剪,,"http://f.video.weibocdn.com/631W61Q5lx07CRlkM9cY01041200bZzM0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1592305436&ssig=%2B%2Fr%2FjOjryF&KID=unistore,video",
4498833822697101,IFt7objDD,1415905860,hu0408,特朗普攻击佩洛西疫情早期“在唐人街跳舞”有美媒说特朗普“撒谎”O特朗普攻击佩洛西疫情早期“在唐人街跳舞”有美媒说特朗普“撒谎”,,,,,0,0,0,2020-04-28 23:50,分享按钮,,,
4498833737964923,IFt7fxq2v,6535240442,浪hhghhhghu,美国总统特朗普被起诉，与新冠疫情有关|🔥热度790📷雷达视频的优酷视频L美国总统特朗普被起诉，与新冠疫情有关,,,,,0,0,0,2020-04-28 23:50,优酷安卓手机客户端,,http://type=feedvideo&objectid=1007002:4498833732993046&keys=4498833735156602&cover_img=https://vthumb.ykimg.com/054101015EA6A5638B6C06991A9E173B&card_height=231&card_width=412&play_count=288&short_url=http://t.cn/A6A2bwjG&encode_mode=&bitrate=277&biz_id=231193&current_mid=0&key=tblog_card&title=美国总统特朗普被起诉，与新冠疫情有关&full_url=https://v.youku.com/v_show/id_XNDY1MDgyMzU5Mg==.html&object_id=1007002:4498833732993046&video_src=https://api.youku.com/videos/player/file?data=WcEl5oEuWdTFNRGd5TXpVNU1nPT18MHwwfDEwMDUwfDAO0O0O,
4498833478014030,IFt6PxCOy,7320227045,西北执行,我正在看【大局已定！美媒：下届美国总统已基本没有悬念，特朗普这下安心了-新闻头条】，分享给你，一起看吧！大局已定！美媒：下届美国总统已基本没有悬念，特朗普这下安心了-新闻头条O网页链接,,,,,0,0,0,2020-04-28 23:49,UC浏览器Android,['http://ww2.sinaimg.cn/large/007ZoVs9ly1ge9wzxmstsj30e007uq3c.jpg'],,
4498833473652865,IFt6Pfkhb,1589041013,想想看走走瞧,美国公民直到现在仍有每天1000人以上失去生命，美国联邦政府是破坏人们反思问题、对错误做法进行修正的最大力量。美国政府对“中国责任论”的宣扬继续升级。特朗普总统星期一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。这是特朗普第一次公开做出这样的表态，他还在回应德国《图片报》要求中国赔偿1490亿欧元时模模糊糊地说，美国说的钱数会比这个数字多得多，但还没有敲定最后数额。可以预见，...O网页链接他们的唯一目标是主导大选前美国舆论场的话语焦点，最大化地煽动对中国的愤怒，确保美国政府自身责任的话题被最大化稀释，其他都不重要。我们的主流媒体、外交应向世界公开发声！用事实说话！美国政客们的丑陋嘴脸无耻言论只能是在睁眼说瞎话，执政水平低劣，对本国人民极度不负责！！！,,,,,0,0,0,2020-04-28 23:49,HUAWEI Mate 20 Pro,['http://ww3.sinaimg.cn/large/5eb6d775ly1ge9wwf1d7zj20hs0h8dkl.jpg'],,
